,Composition,Formation Energy Per Atom,Corrected Energy
374,Er3Ge1Ir1Ru1Sn3,-0.7409,-55.1358
375,Ca6Li16Pb8,-0.4149,-84.726
376,B4Mn1Nb5Ru9Ti1,-0.4994,-187.739
377,Ga4I16Sn2,-0.7949,-62.0028
378,Co16Sc4Si12V4,-0.6457,-263.7488
379,C2N1Zr3,-1.1994,-59.6298
380,Co1Ir1Pt1Sn3Tb3,-0.8442,-55.5476
381,As14Mo2Tc4,-0.2731,-133.824
382,Al4Pd2Pt1Ru1Y4,-0.8882,-77.2119
383,O42S12Sn2Tl4,-1.7527,-380.0775
384,Dy4Sb4Sn2Y6,-0.9348,-96.7178
385,As5Hf3Ru6Sc3Si1,-0.9595,-150.5078
386,Hg1Ni2Pt2Sm1,-0.5641,-32.1091
387,Dy2Ho7Sn16Y11,-0.7608,-203.9653
388,B24Ce6Re4U2,-0.5978,-289.7846
389,Er1Gd1Nd2O18Se6,-2.3281,-203.4052
390,Lu4Rh4Ru3Sb6,-0.7767,-113.3428
391,Ag1Nd20Si15,-0.6417,-202.6766
392,Li8Sb2Sn6Y8,-0.7528,-117.386
393,Ir1Lu1Os3Tm9,-0.4353,-93.4188
394,Cd1Ho4Pt11,-1.0117,-102.2194
395,Eu6O14Pb2,-2.6944,-197.7257
396,Br1N12Nd1P6Zn2,-0.8072,-159.2016
397,Bi3Er1Ir2O14Rh2,-1.7464,-156.335
398,Co12Ho6Ir6P12,-0.9443,-264.779
399,Co4Er10Ru1Sn1Tm2,-0.3513,-102.67
400,O10P1S1Tc2,-1.986,-107.5551
401,Ba1K3P4Pt4,-0.7579,-60.2816
402,Pt1Ru5Sn14,-0.2471,-113.518
403,La7Li12O48Tb5W8,-3.0195,-663.3563
404,Ir12Mg1Tm16Zr3,-0.8576,-232.3599
405,Hf3Rh6Sc1Sn6Tb2,-0.8276,-128.6129
406,Eu6Ge4N12Sm2,-0.9633,-212.4215
407,B4Ir4Na1Tb1,-0.5782,-73.8098
408,Co2H12Sm2Sr1,-0.5636,-75.6372
409,B4Er1Mg2Rh10Y3,-0.7513,-142.5549
410,Sm1Te28,-0.412,-104.6797
411,Al1Ni1Sb4Sn2Zr10,-0.7313,-132.7014
412,B6Mo3Ni2Ta2W1,-0.5754,-128.9028
413,B8Hf3Ru10Yb1,-0.5609,-189.9297
414,Ho1Ir1Ni4,-0.382,-38.8335
415,Au2Cd4La16Tc2,-0.2881,-116.851
416,Co1Hf6Pd1Zn22,-0.2515,-107.2913
417,O12Pr4Pt2Th1,-3.0173,-155.3832
418,Co2Dy2P4Rh2,-1.1079,-70.8909
419,Eu8Ge6Yb2,-0.6432,-123.4452
420,Ce1Na3Nd4Te8,-1.5614,-79.115
421,Ac2Au1Ge3,-0.6803,-29.4668
422,Co1Fe3Zn1Zr1,-0.1979,-43.5129
